CCG13CDH,CCG13CD,CCG13NM,similar_ccg_1,similar_ccg_2,similar_ccg_3,similar_ccg_4,similar_ccg_5,similar_ccg_6,similar_ccg_7,similar_ccg_8,similar_ccg_9,similar_ccg_10
07T,E38000035,NHS City and Hackney,08L,08Q,08W,08D,08K,08A,08C,07P,08H,08X
08A,E38000066,NHS Greenwich,08W,07V,08D,07L,07X,08L,07P,01M,05L,08R
01V,E38000170,NHS Southport and Formby,02M,04M,99F,04L,06D,99C,09F,00N,99Q,03X
03A,E38000064,NHS Greater Huddersfield,05X,09J,05H,09W,02T,00K,02E,05J,01Y,02X
02V,E38000094,NHS Leeds North,03G,07H,02T,03A,01E,10N,00V,02N,05H,02F
00R,E38000015,NHS Blackpool,01J,00P,01T,00M,00N,99G,01X,12F,05W,01W
05C,E38000046,NHS Dudley,08F,01W,99C,05P,04L,02H,02A,05Q,03X,04E
99G,E38000168,NHS Southend,01W,02A,00N,01X,00V,05P,12F,99C,01T,10E
12A,E38000155,NHS South Gloucestershire,05Q,99E,12D,10K,09X,99H,10G,09Y,10J,09L
03W,E38000051,NHS East Leicestershire and Rutland,06Q,05T,09N,09X,05R,11T,99N,06L,06Y,99H
02F,E38000196,NHS West Cheshire,06T,05T,01R,02G,05R,99Q,04J,10V,05H,03T
01C,E38000056,NHS Eastern Cheshire,11T,99D,06D,10V,04J,05R,05T,05V,03W,01R
04N,E38000142,NHS Rushcliffe,99D,09X,06Y,09N,99K,05V,04Q,09L,07K,03W
05T,E38000166,NHS South Worcestershire,05R,02Y,04J,06T,03W,00L,11T,02F,06L,01R
06D,E38000211,NHS Wyre Forest,04H,01C,11T,10V,03Y,01R,04J,04L,05H,99D
07L,E38000004,NHS Barking & Dagenham,08A,08W,07X,06P,07V,08D,10T,01M,04X,05L
08Y,E38000202,"NHS West London (Kensington and Chelsea, Queens Park and Paddington)",08H,08X,09A,08D,07R,08C,08R,08T,08J,07M
08M,E38000113,NHS Newham,08W,07P,07W,07T,08V,07Y,04C,05L,08Q,04X
08V,E38000186,NHS Tower Hamlets,00W,07P,07W,04C,07R,07Y,04X,08W,05L,08N
08W,E38000192,NHS Waltham Forest,08A,07P,07W,08D,07V,07L,08L,08R,05L,07T
00P,E38000176,NHS Sunderland,01T,12F,00N,00M,01X,03R,05W,01Y,03L,01W
99A,E38000101,NHS Liverpool,01G,11H,09D,03F,03N,00P,13T,00M,05W,01N
01G,E38000143,NHS Salford,05W,03F,01Y,00M,01F,13T,00P,03L,00K,03G
01F,E38000068,NHS Halton,01Y,03L,01X,03V,01T,00K,05W,02P,04E,05X
00Q,E38000014,NHS Blackburn with Darwen,00Y,02R,01D,04X,00T,03J,01A,06P,03G,05Y
10G,E38000017,NHS Bracknell and Ascot,11D,12A,99M,12D,10C,10J,09L,09H,99E,09X
05W,E38000175,NHS Stoke on Trent,01Y,00M,01G,03L,03F,03R,00P,00K,00V,02P
03H,E38000119,NHS North East Lincolnshire,00C,02P,10E,02Q,05H,02G,03Y,04H,02X,01X
10T,E38000148,NHS Slough,06P,08N,07Y,08G,08E,03J,04X,07M,02R,00Y
11D,E38000209,NHS Wokingham,10G,10C,99M,99H,10J,09X,09L,12A,11C,10H
11M,E38000062,NHS Gloucestershire,11A,11X,99N,04R,11N,06K,06L,06Q,04G,99J
10K,E38000059,NHS Fareham and Gosport,99F,05Q,12A,10V,09X,11T,04L,99E,03X,99H
06T,E38000117,NHS North East Essex,02F,05T,04J,10V,05G,04V,01R,02Y,99Q,06M
00D,E38000047,"NHS Durham Dales, Easington and Sedgefield",02X,02P,03R,03H,02Q,03L,12F,00K,01X,00C
04D,E38000100,NHS Lincolnshire West,10A,03H,05G,00J,03K,04H,02F,01R,06T,05T
04Q,E38000165,NHS South West Lincolnshire,99K,06Y,99D,07K,03D,04H,05D,05T,04N,01R
99D,E38000157,NHS South Lincolnshire,99K,06Y,01C,11T,04Q,03D,05V,04N,07K,05T
03T,E38000099,NHS Lincolnshire East,06M,99Q,04J,07J,10L,09F,00L,09P,06D,10A
06V,E38000124,NHS North Norfolk,09F,10L,02M,99D,03D,01C,07J,05V,04J,06D
99J,E38000199,NHS West Kent,99N,06L,06F,06Q,06K,11M,03W,04R,10Y,11A
09Y,E38000128,NHS North West Surrey,99H,07Q,06Q,12A,10H,99E,12D,09X,10J,09L
04H,E38000109,NHS Newark & Sherwood,02Q,01R,00C,03K,05H,06D,03Y,00X,05J,10A
99N,E38000206,NHS Wiltshire,06L,99J,06Q,11A,11M,11X,03W,06F,05T,06K
07W,E38000048,NHS Ealing,07Y,07P,08W,08R,08N,08G,05L,08E,04C,04X
07X,E38000057,NHS Enfield,07V,08A,07M,07G,07N,07L,08D,04F,06P,08T
08G,E38000082,NHS Hillingdon,07M,06P,08N,06A,05A,07Y,08T,09H,02R,08J
08L,E38000098,NHS Lewisham,07T,08D,08A,08W,08Q,07V,07P,08K,07L,08X
